"user_id","first_name","middle_name","last_name","gender","dob","ssn","salary","total_distance"
1235358,"Taylor","W.","Diershow","M",1977-03-18,193076136,173634,327334640
1626731,"Neel","I.","Lavaka","M",1952-05-12,383298712,62144,51983584
1318180,"Keiko","F.","Lewis","F",1970-10-07,674532085,107884,745145185
1361165,"Taqiyya","V.","al-Tabet","F",1985-01-24,559459822,92708,896247351
1691875,"Jesus","Y.","Soto","M",1985-10-25,875166833,73308,762103749
1271731,"Lindsey","L.","Boutot","F",1996-08-17,814421474,184592,403041947
1843727,"Angelita","F.","Ponce","F",1967-04-08,173295448,91726,691809916
1669414,"Dennis","M.","Prout","M",1974-05-22,336569777,249822,561176613
1191300,"Marcellus","M.","Moore","M",1965-05-09,971049765,150523,121704327
1588278,"Shahrazad","A.","Ishizuka","F",1998-12-27,406413314,65985,63620455
1960724,"Zain","L.","el-Bagheri","M",1965-01-29,416945417,125134,298047185
1355281,"Corbin","J.","Brown","M",1993-07-27,635112148,136797,6033471
1435043,"Teddi","E.","Revello","F",1975-10-31,921585559,217582,941754039
1586989,"Long","X.","Glade","M",1955-08-02,230829426,72096,212677266
1261562,"Cody","B.","Manzo","M",1962-10-26,920028320,102170,494686333
1055118,"Casey","P.","Chanthavongsa","F",1975-01-20,349159340,76905,459056998
1669237,"Kenneth","C.","Solis-Gonzales","M",1997-12-22,262858895,91774,520095228
1947874,"Bandar","X.","al-Imam","M",1956-06-22,413199134,107763,67607333
1040062,"Cody","H.","Howard III","M",1971-06-26,214712944,140937,223777488
1635591,"Cherokee","J.","Alarid","F",1988-12-17,378880799,179542,546962106
1178275,"Kenaya","N.","Wonnell","F",1995-07-07,766130295,98345,53435227
1977112,"Gabriela","A.","Estrada","F",1995-03-26,880141286,157690,908037127
1724435,"Tierni","R.","Tran","F",1987-12-12,703105656,238206,371414510
1314010,"Saleem","N.","el-Bilal","M",1965-04-27,578418849,174583,383571585
1266254,"Ashley","V.","Clark","F",1955-03-23,911177576,84852,765137351
1216132,"Alex","G.","Lang","M",1987-12-25,654923962,127978,517022637
1963929,"Feyone","K.","Bandreddi","F",1988-06-27,649145654,237323,522864037
1993421,"Osvaldo","Z.","Benedict","M",1986-08-07,866250756,160336,667111237
1690747,"Talha","J.","el-Amini","M",1970-08-17,568469260,225544,518799642
1666133,"Lucy","W.","Thilenius","F",1995-09-10,385995068,176410,442778907
1137165,"My Tien","V.","Morikawa","F",1994-12-11,503077654,161900,505012856
1016174,"Almerida","W.","Graves","F",1969-12-12,311289508,64618,776643956
1434404,"Ashley","X.","Tahlo","F",1987-01-22,731877639,238367,710334514
1470982,"Madeeha","H.","al-Wahba","F",1981-08-13,881253892,201384,8785664
1097255,"Desmond","O.","Robinson","M",1980-02-09,866466605,232328,544183709
1668898,"Raenu","M.","Yee","F",1963-08-24,542695138,112433,414349716
1397365,"Yesica","L.","Nieto","F",1969-08-15,189351535,174189,446958578
1777151,"Joseph","S.","Lucas","M",1949-04-16,367921343,241716,887284846
