user_id,first_name,middle_name,last_name,gender,dob,ssn,salary,total_distance
1312,Huff,Avery,Haleakala,F,1/6/1975,71235011,200000,211077
38302,Hernandez,Maurice,Manuel,M,9/22/1990,58883923,200000,416023
33459,Rodriguez,Himma,Barbosa Jadeyunuet,F,10/3/1986,91670517,200000,427088
72634,Nguyen,Mahmood,Anthony,M,6/15/1965,82068690,200000,360027
2775,Kellem,Jose,De'Ron,M,9/8/1991,16990900,200000,126727
84106,Lyons,Michelle,Sabrina,F,11/6/1978,53569494,200000,383826
52709,Vue,Daniel,Darren,M,2/12/1975,13974820,200000,205174
14653,Carter,Gavin,Theodore,M,6/12/1985,76965393,200000,324349
99731,Zerom,Nicole,Tiandra,F,3/2/1993,71258789,200000,139954
11034,Creel,Jane,Shelby,F,3/7/1981,87033075,200000,389602
28279,Valenzuela,Fabian,Zachary,M,8/30/1994,48077759,200000,302429
23079,Ajavon,Cedric,Marquices Anthony,M,1/3/1996,34172409,200000,392452
33836,al-Rabbani,Sha'Cori,Jareer,M,1/3/1971,80043285,180000,78191
27065,Matthews,Merisa,Roemello,F,1/21/1975,91936124,200000,247186
84408,Lamb,Marinna,Alexis,F,9/14/1983,22925745,200000,239656
8354,Sampson,Lauren,Jazmin,F,8/18/1970,98799310,200000,251869
47583,Forster,Qutb,Dayton,M,10/31/1972,85301220,200000,111809
98809,Riley,Anthony,Tyler,M,5/12/1980,25602913,200000,367781
92603,al-Mohammad,Ashton,Ruqayya,F,4/28/1971,38547243,200000,295847
6542,el-Hariri,Semira,Raafida,F,8/21/1981,99232062,200000,33277
5279,Chapman,Alysia,Dchelle,F,11/24/1975,34487683,200000,1140
20164,Kwon,Angelique,Haasini,F,3/31/1984,47202307,200000,155142
44096,Hill,Christian,Cristan,M,5/25/1969,70052326,200000,28094
77600,Smith,Avery,Devante,M,12/3/1975,60651088,200000,138022
81892,Smith,Frank,Tavion,M,6/6/1982,35104478,180000,59274
82618,Chang,Samuel,John,M,1/22/1983,36302594,200000,142054
93696,al-Yamin,Cristian,Imaad,M,3/25/1982,67038418,200000,333718
49186,Phillips,Naaif,Tyrone,M,5/16/1983,74793184,200000,394272
79455,Moseley,Michael,Lane,M,1/9/1975,64344046,200000,363761
25420,Makris,Vivian,Brittany,F,6/16/1985,19288610,200000,115000
88794,Walck,John,Carlo,M,9/12/1997,61172841,200000,301002
70519,Turner,Lucas,Troy,M,3/20/1969,98298768,200000,279231
50620,Alvarez,Lourdes,Stephanie,F,3/4/1996,72978421,200000,151180
39316,Cook,Isabella,Destiny,F,6/23/1981,48816314,200000,34137
10335,el-Asad,Hakam,Zaidaan,M,2/19/1974,90503420,200000,108603
14441,Estes,Rondora,Anyssa,F,12/29/1967,97764855,200000,158291
8271,el-Mahmoud,Langston,Shaamikh,M,9/3/1985,28088958,200000,303004
3865,al-Hamady,Ruwaid,Katheer,M,10/23/1979,88484747,180000,58972
49343,Lor,Jade,Cissy,F,3/17/1979,62356576,180000,98264
57105,Morgan,Latasha,Raeanna,F,1/4/1965,36020371,200000,212811
27497,Kaiser,Chelsea,Lauren,F,4/1/1982,67590143,200000,414783
72283,el-Maroun,William,Yusri,M,9/17/1994,76695132,200000,335848
17592,Reeves,Simone,Kaylie,F,11/9/1979,43286920,200000,339498
55311,Gonzalez,Ian,Fabian,M,6/12/1976,53396685,200000,339042
67225,Pena,Sara,Lemus Alexis,F,10/29/1991,72226368,180000,64483
8826,Amaya,Tucker,Jonathan,M,5/30/1989,12282627,200000,311093
37191,Kwon,Michael,Kyoung Min,M,4/30/1968,20556119,200000,166429
21611,Rodriguez,Claire,Felicia,F,1/17/1971,46912527,200000,238886
77643,Boone,Alicia,Skylar,F,9/15/1978,63265282,200000,156770
7196,Raymond,Xavier,Jordan,M,12/5/1969,15449790,200000,232644
23580,Wilson,Taliya,Natalie,F,11/11/1969,48411332,200000,143623
13006,Jones,Kayla,Ariana,F,3/6/1965,10215222,180000,84065
36757,Lange,Rafeeda,Vannessa,F,4/15/1992,78723847,200000,275235
40296,Gonzalez,Hanlala,Francisco,M,9/11/1984,95692528,200000,153519
43179,Mcdonald,Ezra,Isaac,M,3/1/1968,98263966,200000,322040
36219,el-Koroma,Melina,Haaritha,F,10/22/1976,23672466,180000,84941
29795,el-Rehmann,Gedion,Hamad,M,7/4/1987,11935806,200000,26942
10455,al-Rais,Mitchell,Suwailim,M,5/6/1974,20616240,200000,230115
86075,Castaneda,Siddeeqi,Michael,M,2/13/1964,54719935,200000,183698
86043,Harrier,Faraj,Richard,M,12/23/1963,23350699,200000,4072
63726,Gates,Mikayla,Schiara,F,2/19/1979,17026329,200000,285412
16820,Lovato,Viridiana,Michelle,F,4/29/1976,75735997,200000,312258
44923,Sarwana,Michelle,Julynn,F,9/23/1992,72337832,200000,257955
932,Leggett,Kevin,Brian,M,7/20/1988,21133215,200000,166476
20223,Tang,Camden,Cory,M,8/11/1976,52893633,200000,277569
86939,Lillie,Eduardo,Brian,M,2/21/1975,88649063,200000,362904
6878,Barnes,Sadie,Jessica,F,7/15/1966,85127902,180000,71049
65317,Boykin,Alyssa,Zion,F,1/16/1999,27620312,200000,270872
39381,Kee,Ya'eesh,Claymon,M,9/9/1962,68951320,200000,173702
64562,Gonzalez-Caldera,Nu'ma,Dakota,F,9/21/1989,97990532,180000,67141
82402,Cox,Dhaakir,Dontae,M,8/14/1991,21835505,200000,405161
81975,Albrecht,Raine,Amanda,F,10/31/1969,56620313,200000,278018
10050,Stanton,Ryan,Richard,M,9/3/1994,29903021,200000,324050
91629,Hernandez,Angelina,Ana,F,9/6/1978,75743498,200000,125047
4762,Santovena,Symon,Colby,M,9/23/1986,16682681,180000,95661
71388,Chambers,Mutlaq,Istiaq,M,8/3/1998,40225721,180000,83737
57707,el-Jafri,Nicholas,Mutlaq,M,7/6/1963,43382181,200000,383740
77408,Almodovar,Marielle,Yarima,F,4/19/1989,33241976,200000,47398
38910,el-Jamil,Esperanza,Saabiqa,F,2/20/1970,97719596,200000,190120
72714,Garcia,Cheyenne,Vivian,F,4/23/1974,85706795,200000,400399
97023,Yates,Lexi,Scarlett,F,12/3/1973,19934832,200000,216224
17440,Tuttle,Clayton,Samuel,M,12/7/1989,94248435,200000,343961
73072,el-Younan,Sterling,Sakeen,M,11/30/1990,86227439,200000,419113
94122,Lor,Nariah,Lisa,F,5/31/1977,81438088,200000,404368
51789,Jenkins,Rasheeda,Chantel,F,2/3/1987,83108058,200000,260858
20881,el-Farooq,Nina,Ulyaa,F,2/5/1982,79370055,200000,247219
14265,Ramirez,Arthur,Nathaniel,M,7/25/1980,56513243,200000,200958
13128,Delarosa-Silva,Jacob,Trevor,M,11/4/1995,57692521,200000,428062
78013,Lalria,Cassandra,April,F,11/9/1987,39538927,200000,996
96878,Casalini,Dao,Alexander,M,4/25/1991,42968421,200000,135204
27518,Lira,Mark,Venancio,M,8/9/1994,16485248,200000,320984
2124,Anderson,Laura,Destinee,F,4/26/1984,14376159,180000,76013
73748,Mayer,David,Sergy,M,1/3/1969,45550233,200000,195380
75568,Hayduk,Abdul Hai,Nathan,M,8/20/1977,18464410,200000,284361
65264,el-Sani,Bryant,Aslam,M,1/22/1968,51648474,200000,11388
46269,Gardner,Passion,Evelyn,F,6/10/1975,15742379,200000,336878
22376,Chavez,Brayden,Medrano Mario,M,11/19/1986,94541257,200000,382577
88511,Boyd,Koby,Kyle,M,10/14/1981,12677324,200000,296276
28813,el-Halaby,Farhaan,Waseem,M,10/14/1984,78231410,200000,144049
43447,Niedringhaus,Emma,Karen,F,1/12/1998,93263506,200000,102383
66923,Yazzie,Ayrielle,Ashley,F,9/23/1993,43996303,200000,102153
35695,Dubus,Samuel,Joshua,M,8/27/1963,22499697,200000,288479
48502,Soto,Azmi,Mickey,M,5/8/1975,82290276,200000,302285
39250,Punay,Tammaam,Ryan,M,7/16/1971,44000636,200000,18317
