user_id,first_name,middle_name,last_name,gender,dob,ssn,salary,total_distance
73635,Aslami,Jaabir,Kristian,M,11/19/1981,87989264,180000,62106
68328,Vazquez,Sarah Anne,Maria,U,10/22/1966,49338817,200000,15656
69637,el-Moradi,Daniel,Hakeema,U,8/23/1970,31224591,200000,146797
2181,el-Baten,Morgan,Aatifa,U,1/22/1999,23039158,180000,73738
54886,Flores,The,Maria,U,1/3/1991,95913506,200000,106786
35532,Garcia,Daniel,Kevin,U,1/12/1986,25927813,200000,220611
46883,el-Pour,Giovanni,Jiyaad,M,10/24/1975,29187923,200000,145952
85302,Hall,Angel,Jessica,F,6/8/1968,53108924,200000,40585
6932,Guzman,Kyla,Christian,U,6/6/1971,50636895,200000,210237
64100,al-Soliman,Alayna,Najiyya,F,12/27/1986,17694143,200000,354060
85335,al-Mirza,Jonathan,Hamdaan,M,1/4/1999,32366662,200000,308545
47044,Soumah,Burke,Abdulrhman,M,3/21/1968,85045408,200000,415814
42860,Dotson,Marco,Shawn,M,8/26/1976,79662720,200000,293892
22409,Mcelroy-Brown,Rifqa,Alyssa,F,1/22/1987,99322024,200000,309974
50702,Contreras,Justin,Omar,U,4/30/1963,49391586,200000,175109
80683,Botello,Silmi,Thomas,M,11/27/1963,47199067,200000,406650
92018,Chavez,Dean,Kelly,U,12/8/1963,43380599,200000,21020
69745,Tuteur,Kaxee,Megan,F,2/26/1984,65251616,200000,304335
29116,Tamblyn,Benjamin,Sarahray,U,5/27/1995,87003939,200000,232532
96958,Lee,Alexis,Quincy,U,11/5/1993,54944818,200000,339943
30782,Brooks,Wadha,Andrea,U,6/21/1985,57040723,200000,118758
7099,Mead,Kendahl,Debra,F,5/23/1995,51553166,200000,135288
4790,el-Burki,Brandon,Ziyaad,M,12/27/1966,19420368,200000,153465
24735,Shoeman,Austin,Brett,U,5/1/1992,78492378,200000,49642
51819,Fair,Haajid,Markuan,M,11/6/1992,94900913,200000,181506
42113,Martin,Qamraaa,Acineth,F,2/10/1976,49505003,200000,176433
25565,Tarar,Parinaz,Annie,F,10/23/1988,63949630,200000,108442
1126,Pradhan,Tkejah,Kaylee,F,6/14/1975,50901038,200000,190521
59164,Kim,Alyssa,Mary,F,5/30/1983,83078029,200000,369461
45610,Stewart,Azaria,Kimberly,U,4/30/1998,23531812,200000,126263
25404,Meuret,Nikhilesh,Eric,M,9/19/1985,99757013,180000,72105
15260,Conley,Randon,Tavia,U,11/29/1985,49829270,200000,166828
5966,Washington-Sweed,Jordan,Ke'Jion,M,1/29/1991,40828601,200000,351124
38502,Beightel,Luke,Patrick,M,7/13/1979,71556468,200000,322256
8903,Clark,Abdul Wahaab,Jeramiah,U,1/29/1963,26574741,200000,115368
98164,Castillo,Selam,Barbara,F,5/16/1989,25653146,200000,222523
43117,Leslie,Janie,Mileena,F,2/16/1971,51157135,200000,105999
66660,Williams,Scott,Connor,M,3/18/1965,63014391,200000,178899
37403,Field,Jonathan,Connor,M,6/28/1967,13660868,200000,270403
95465,Espinoza,Rafeeda,Lorena,F,10/14/1991,75385176,200000,15894
57128,Kesler,Taber,Jordan,U,10/6/1993,51635749,200000,351222
29659,Johnson,Dillon,Rodolfo,U,9/28/1979,33951216,200000,310424
70013,Keese,Kate,Trina,U,4/3/1984,41238248,200000,46502
74940,Long,Zachary,Nathan,U,5/21/1967,69054826,200000,215571
41439,Naqica,Ka Ron,Kevin,U,9/19/1998,65244199,200000,175585
43705,Mottier,Teyanna,Allisen,F,2/24/1995,31177980,200000,44607
29455,Ybarra,Drue,Danesha,U,9/29/1973,69054428,200000,312195
15508,al-Amini,Sueann,Firdaus,F,4/2/1966,27686685,200000,197362
92221,Nguyen,Zolaykha,Angel,U,12/19/1971,52210242,200000,377037
87680,Serrano,Kelsi,Sarah,F,8/23/1975,94445440,200000,145658
18329,Le,Tah Dai,Alexandria,F,4/8/1971,58066505,200000,331000
61683,Aveitia,Deja,Breanna,F,4/24/1987,41110345,200000,24703
27710,Syas,Cameron,Timothy,M,10/27/1977,79235448,180000,75660
66717,Harden,Gerardo,Davion,M,9/4/1965,80971351,200000,232242
32839,Tracey,Josie,Chelsa,F,12/19/1992,11105832,200000,405941
93993,Sherman,Hunter,Thomas,M,4/29/1980,33213067,200000,397769
4630,Wilson,Jihad,Jacob,M,3/30/1981,70604551,200000,130247
68065,Vieyra,Jalen,Denny,M,7/30/1976,83558056,200000,410819
13128,Miller,Eduardo,Adriene,M,7/16/1995,82433439,200000,245965
